户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,低楼层/共6层,56.97,平层/精装,370,翠林三里,丰台,南 北,,"2022年01月08日
                                                                            ","普通住宅
                                                                            ",64947
2室1厅,中楼层/共6层,58.07,平层/精装,420,望园西里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",72327
2室1厅,低楼层/共6层,58.1,平层/精装,380,右外东庄,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",65405
2室1厅,中楼层/共6层,62.6,平层/精装,370,新华街四里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",59106
2室1厅,中楼层/共21层,65.5,平层/简装,403,洋桥北里,丰台,南 北,有,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",61527
2室1厅,高楼层/共6层,65.12,平层/精装,369,石榴园北里小区,丰台,南 北,,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",56665
2室1厅,低楼层/共6层,69.8,平层/精装,445,六里桥10号院,丰台,南 北,,"2021年12月27日
                                                                            ","普通住宅
                                                                            ",63754
2室1厅,高楼层/共6层,58.11,平层/精装,362,嘉园二里,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            ",62296
2室1厅,中楼层/共6层,58.4,平层/简装,375,太平桥东里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",64213
2室1厅,底层/共6层,56.87,平层/简装,365,嘉园二里,丰台,南 北,,"2021年12月31日
                                                                            ","普通住宅
                                                                            ",64182
2室1厅,中楼层/共6层,63.83,平层/简装,364,城建宿舍,丰台,南 北,,"2021年12月26日
                                                                            ","普通住宅
                                                                            ",57027
2室1厅,顶层/共6层,54.01,平层/简装,435,正阳小区,丰台,南 北,,"2021年12月18日
                                                                            ","普通住宅
                                                                            ",80541
2室1厅,高楼层/共6层,57.14,平层/简装,365,芳古园一区,丰台,南 北,,"2021年12月10日
                                                                            ","普通住宅
                                                                            ",63879
2室1厅,低楼层/共6层,58.4,平层/简装,384,太平桥东里,丰台,南 北,,"2021年11月15日
                                                                            ","普通住宅
                                                                            ",65754
2室1厅,高楼层/共6层,61.28,平层/简装,380,嘉园二里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",62011
2室1厅,顶层/共6层,62.44,平层/简装,388,望园西里,丰台,南 北,,"2021年12月19日
                                                                            ","普通住宅
                                                                            ",62140
2室1厅,中楼层/共6层,69.72,平层/简装,395,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            ",56656
2室1厅,中楼层/共6层,61,平层/简装,382,蒲安北里,丰台,南 北,,"2021年11月03日
                                                                            ","普通住宅
                                                                            ",62623
2室1厅,低楼层/共6层,66.5,平层/简装,366,建欣苑四里,丰台,南 北,,"2021年10月30日
                                                                            ","普通住宅
                                                                            ",55038
2室1厅,中楼层/共6层,57.49,平层/简装,389,芳古园一区,丰台,南 北,,"2021年10月17日
                                                                            ","普通住宅
                                                                            ",67664
2室1厅,顶层/共6层,66.58,平层/简装,372,育芳园甲一号院,丰台,南 北,,"2021年10月03日
                                                                            ","普通住宅
                                                                            ",55873
2室1厅,高楼层/共6层,57.14,平层/简装,382,芳古园一区,丰台,南 北,,"2021年09月14日
                                                                            ","普通住宅
                                                                            ",66854
2室1厅,中楼层/共6层,67.63,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年09月13日
                                                                            ","普通住宅
                                                                            ",58850
2室1厅,中楼层/共6层,66.85,平层/简装,430,翠林三里,丰台,南 北,,"2021年09月02日
                                                                            ","普通住宅
                                                                            ",64324
2室1厅,中楼层/共6层,56.4,平层/简装,363,玉林里小区,丰台,东 南 西 北,,"2021年08月22日
                                                                            ","普通住宅
                                                                            ",64362
2室1厅,中楼层/共6层,64.48,平层/简装,362,华润小区,丰台,南 北,,"2021年08月07日
                                                                            ","普通住宅
                                                                            ",56142
2室1厅,顶层/共6层,61.98,平层/简装,369,莲怡园一区,丰台,北 南,,"2021年08月05日
                                                                            ","普通住宅
                                                                            ",59536
2室1厅,顶层/共4层,57.84,平层/简装,365,芳星园三区,丰台,南 北,,"2020年12月06日
                                                                            ","普通住宅
                                                                            ",63106
2室1厅,中楼层/共6层,61.25,平层/精装,395,芳星园三区,丰台,南 北,,"2022年01月16日
                                                                            ","普通住宅
                                                                            ",64490
2室1厅,中楼层/共6层,56.3,平层/其他,398,芳古园一区,丰台,南 北,,"2022年01月09日
                                                                            ","普通住宅
                                                                            ",70693
2室1厅,低楼层/共6层,56.97,平层/精装,370,翠林三里,丰台,南 北,,"2022年01月08日
                                                                            ","普通住宅
                                                                            ",64947
2室1厅,中楼层/共6层,58.07,平层/精装,420,望园西里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",72327
2室1厅,低楼层/共6层,58.1,平层/精装,380,右外东庄,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",65405
2室1厅,中楼层/共6层,62.6,平层/精装,370,新华街四里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",59106
2室1厅,中楼层/共21层,65.5,平层/简装,403,洋桥北里,丰台,南 北,有,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",61527
2室1厅,高楼层/共6层,65.12,平层/精装,369,石榴园北里小区,丰台,南 北,,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",56665
2室1厅,低楼层/共6层,69.8,平层/精装,445,六里桥10号院,丰台,南 北,,"2021年12月27日
                                                                            ","普通住宅
                                                                            ",63754
2室1厅,高楼层/共6层,58.11,平层/精装,362,嘉园二里,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            ",62296
2室1厅,中楼层/共6层,58.4,平层/简装,375,太平桥东里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",64213
2室1厅,底层/共6层,56.87,平层/简装,365,嘉园二里,丰台,南 北,,"2021年12月31日
                                                                            ","普通住宅
                                                                            ",64182
2室1厅,中楼层/共6层,63.83,平层/简装,364,城建宿舍,丰台,南 北,,"2021年12月26日
                                                                            ","普通住宅
                                                                            ",57027
2室1厅,顶层/共6层,54.01,平层/简装,435,正阳小区,丰台,南 北,,"2021年12月18日
                                                                            ","普通住宅
                                                                            ",80541
2室1厅,高楼层/共6层,57.14,平层/简装,365,芳古园一区,丰台,南 北,,"2021年12月10日
                                                                            ","普通住宅
                                                                            ",63879
2室1厅,低楼层/共6层,58.4,平层/简装,384,太平桥东里,丰台,南 北,,"2021年11月15日
                                                                            ","普通住宅
                                                                            ",65754
2室1厅,高楼层/共6层,61.28,平层/简装,380,嘉园二里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",62011
2室1厅,顶层/共6层,62.44,平层/简装,388,望园西里,丰台,南 北,,"2021年12月19日
                                                                            ","普通住宅
                                                                            ",62140
2室1厅,中楼层/共6层,69.72,平层/简装,395,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            ",56656
2室1厅,中楼层/共6层,61,平层/简装,382,蒲安北里,丰台,南 北,,"2021年11月03日
                                                                            ","普通住宅
                                                                            ",62623
2室1厅,低楼层/共6层,66.5,平层/简装,366,建欣苑四里,丰台,南 北,,"2021年10月30日
                                                                            ","普通住宅
                                                                            ",55038
2室1厅,中楼层/共6层,57.49,平层/简装,389,芳古园一区,丰台,南 北,,"2021年10月17日
                                                                            ","普通住宅
                                                                            ",67664
2室1厅,顶层/共6层,66.58,平层/简装,372,育芳园甲一号院,丰台,南 北,,"2021年10月03日
                                                                            ","普通住宅
                                                                            ",55873
2室1厅,高楼层/共6层,57.14,平层/简装,382,芳古园一区,丰台,南 北,,"2021年09月14日
                                                                            ","普通住宅
                                                                            ",66854
2室1厅,中楼层/共6层,67.63,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年09月13日
                                                                            ","普通住宅
                                                                            ",58850
2室1厅,中楼层/共6层,66.85,平层/简装,430,翠林三里,丰台,南 北,,"2021年09月02日
                                                                            ","普通住宅
                                                                            ",64324
2室1厅,中楼层/共6层,56.4,平层/简装,363,玉林里小区,丰台,东 南 西 北,,"2021年08月22日
                                                                            ","普通住宅
                                                                            ",64362
2室1厅,中楼层/共6层,64.48,平层/简装,362,华润小区,丰台,南 北,,"2021年08月07日
                                                                            ","普通住宅
                                                                            ",56142
2室1厅,顶层/共6层,61.98,平层/简装,369,莲怡园一区,丰台,北 南,,"2021年08月05日
                                                                            ","普通住宅
                                                                            ",59536
2室1厅,顶层/共4层,57.84,平层/简装,365,芳星园三区,丰台,南 北,,"2020年12月06日
                                                                            ","普通住宅
                                                                            ",63106
2室1厅,中楼层/共6层,58.4,平层/简装,375,太平桥东里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",64213
2室1厅,底层/共6层,56.87,平层/简装,365,嘉园二里,丰台,南 北,,"2021年12月31日
                                                                            ","普通住宅
                                                                            ",64182
2室1厅,中楼层/共6层,63.83,平层/简装,364,城建宿舍,丰台,南 北,,"2021年12月26日
                                                                            ","普通住宅
                                                                            ",57027
2室1厅,顶层/共6层,54.01,平层/简装,435,正阳小区,丰台,南 北,,"2021年12月18日
                                                                            ","普通住宅
                                                                            ",80541
2室1厅,高楼层/共6层,57.14,平层/简装,365,芳古园一区,丰台,南 北,,"2021年12月10日
                                                                            ","普通住宅
                                                                            ",63879
2室1厅,低楼层/共6层,58.4,平层/简装,384,太平桥东里,丰台,南 北,,"2021年11月15日
                                                                            ","普通住宅
                                                                            ",65754
2室1厅,高楼层/共6层,61.28,平层/简装,380,嘉园二里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",62011
2室1厅,顶层/共6层,62.44,平层/简装,388,望园西里,丰台,南 北,,"2021年12月19日
                                                                            ","普通住宅
                                                                            ",62140
2室1厅,中楼层/共6层,69.72,平层/简装,395,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            ",56656
2室1厅,中楼层/共6层,61,平层/简装,382,蒲安北里,丰台,南 北,,"2021年11月03日
                                                                            ","普通住宅
                                                                            ",62623
2室1厅,低楼层/共6层,66.5,平层/简装,366,建欣苑四里,丰台,南 北,,"2021年10月30日
                                                                            ","普通住宅
                                                                            ",55038
2室1厅,中楼层/共6层,57.49,平层/简装,389,芳古园一区,丰台,南 北,,"2021年10月17日
                                                                            ","普通住宅
                                                                            ",67664
2室1厅,顶层/共6层,66.58,平层/简装,372,育芳园甲一号院,丰台,南 北,,"2021年10月03日
                                                                            ","普通住宅
                                                                            ",55873
2室1厅,高楼层/共6层,57.14,平层/简装,382,芳古园一区,丰台,南 北,,"2021年09月14日
                                                                            ","普通住宅
                                                                            ",66854
2室1厅,中楼层/共6层,67.63,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年09月13日
                                                                            ","普通住宅
                                                                            ",58850
2室1厅,中楼层/共6层,66.85,平层/简装,430,翠林三里,丰台,南 北,,"2021年09月02日
                                                                            ","普通住宅
                                                                            ",64324
2室1厅,中楼层/共6层,56.4,平层/简装,363,玉林里小区,丰台,东 南 西 北,,"2021年08月22日
                                                                            ","普通住宅
                                                                            ",64362
2室1厅,中楼层/共6层,64.48,平层/简装,362,华润小区,丰台,南 北,,"2021年08月07日
                                                                            ","普通住宅
                                                                            ",56142
2室1厅,顶层/共6层,61.98,平层/简装,369,莲怡园一区,丰台,北 南,,"2021年08月05日
                                                                            ","普通住宅
                                                                            ",59536
2室1厅,顶层/共4层,57.84,平层/简装,365,芳星园三区,丰台,南 北,,"2020年12月06日
                                                                            ","普通住宅
                                                                            ",63106
2室1厅,中楼层/共6层,61.25,平层/精装,395,芳星园三区,丰台,南 北,,"2022年01月16日
                                                                            ","普通住宅
                                                                            ",64490
2室1厅,中楼层/共6层,56.3,平层/其他,398,芳古园一区,丰台,南 北,,"2022年01月09日
                                                                            ","普通住宅
                                                                            ",70693
2室1厅,低楼层/共6层,56.97,平层/精装,370,翠林三里,丰台,南 北,,"2022年01月08日
                                                                            ","普通住宅
                                                                            ",64947
2室1厅,中楼层/共6层,58.07,平层/精装,420,望园西里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",72327
2室1厅,低楼层/共6层,58.1,平层/精装,380,右外东庄,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",65405
2室1厅,中楼层/共6层,62.6,平层/精装,370,新华街四里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",59106
2室1厅,中楼层/共21层,65.5,平层/简装,403,洋桥北里,丰台,南 北,有,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",61527
2室1厅,高楼层/共6层,65.12,平层/精装,369,石榴园北里小区,丰台,南 北,,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",56665
2室1厅,低楼层/共6层,69.8,平层/精装,445,六里桥10号院,丰台,南 北,,"2021年12月27日
                                                                            ","普通住宅
                                                                            ",63754
2室1厅,高楼层/共6层,58.11,平层/精装,362,嘉园二里,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            ",62296
2室1厅,中楼层/共6层,58.4,平层/简装,375,太平桥东里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",64213
2室1厅,底层/共6层,56.87,平层/简装,365,嘉园二里,丰台,南 北,,"2021年12月31日
                                                                            ","普通住宅
                                                                            ",64182
2室1厅,中楼层/共6层,63.83,平层/简装,364,城建宿舍,丰台,南 北,,"2021年12月26日
                                                                            ","普通住宅
                                                                            ",57027
2室1厅,顶层/共6层,54.01,平层/简装,435,正阳小区,丰台,南 北,,"2021年12月18日
                                                                            ","普通住宅
                                                                            ",80541
2室1厅,高楼层/共6层,57.14,平层/简装,365,芳古园一区,丰台,南 北,,"2021年12月10日
                                                                            ","普通住宅
                                                                            ",63879
2室1厅,低楼层/共6层,58.4,平层/简装,384,太平桥东里,丰台,南 北,,"2021年11月15日
                                                                            ","普通住宅
                                                                            ",65754
2室1厅,高楼层/共6层,61.28,平层/简装,380,嘉园二里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",62011
2室1厅,顶层/共6层,62.44,平层/简装,388,望园西里,丰台,南 北,,"2021年12月19日
                                                                            ","普通住宅
                                                                            ",62140
2室1厅,中楼层/共6层,69.72,平层/简装,395,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            ",56656
2室1厅,中楼层/共6层,61,平层/简装,382,蒲安北里,丰台,南 北,,"2021年11月03日
                                                                            ","普通住宅
                                                                            ",62623
2室1厅,低楼层/共6层,66.5,平层/简装,366,建欣苑四里,丰台,南 北,,"2021年10月30日
                                                                            ","普通住宅
                                                                            ",55038
2室1厅,中楼层/共6层,57.49,平层/简装,389,芳古园一区,丰台,南 北,,"2021年10月17日
                                                                            ","普通住宅
                                                                            ",67664
2室1厅,顶层/共6层,66.58,平层/简装,372,育芳园甲一号院,丰台,南 北,,"2021年10月03日
                                                                            ","普通住宅
                                                                            ",55873
2室1厅,高楼层/共6层,57.14,平层/简装,382,芳古园一区,丰台,南 北,,"2021年09月14日
                                                                            ","普通住宅
                                                                            ",66854
2室1厅,中楼层/共6层,67.63,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年09月13日
                                                                            ","普通住宅
                                                                            ",58850
2室1厅,中楼层/共6层,66.85,平层/简装,430,翠林三里,丰台,南 北,,"2021年09月02日
                                                                            ","普通住宅
                                                                            ",64324
2室1厅,中楼层/共6层,56.4,平层/简装,363,玉林里小区,丰台,东 南 西 北,,"2021年08月22日
                                                                            ","普通住宅
                                                                            ",64362
2室1厅,中楼层/共6层,64.48,平层/简装,362,华润小区,丰台,南 北,,"2021年08月07日
                                                                            ","普通住宅
                                                                            ",56142
2室1厅,顶层/共6层,61.98,平层/简装,369,莲怡园一区,丰台,北 南,,"2021年08月05日
                                                                            ","普通住宅
                                                                            ",59536
2室1厅,顶层/共4层,57.84,平层/简装,365,芳星园三区,丰台,南 北,,"2020年12月06日
                                                                            ","普通住宅
                                                                            ",63106
2室1厅,中楼层/共6层,61.25,平层/精装,395,芳星园三区,丰台,南 北,,"2022年01月16日
                                                                            ","普通住宅
                                                                            ",64490
2室1厅,中楼层/共6层,56.3,平层/其他,398,芳古园一区,丰台,南 北,,"2022年01月09日
                                                                            ","普通住宅
                                                                            ",70693
2室1厅,低楼层/共6层,56.97,平层/精装,370,翠林三里,丰台,南 北,,"2022年01月08日
                                                                            ","普通住宅
                                                                            ",64947
2室1厅,中楼层/共6层,58.07,平层/精装,420,望园西里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",72327
2室1厅,低楼层/共6层,58.1,平层/精装,380,右外东庄,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",65405
2室1厅,中楼层/共6层,62.6,平层/精装,370,新华街四里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",59106
2室1厅,中楼层/共21层,65.5,平层/简装,403,洋桥北里,丰台,南 北,有,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",61527
2室1厅,高楼层/共6层,65.12,平层/精装,369,石榴园北里小区,丰台,南 北,,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",56665
2室1厅,低楼层/共6层,69.8,平层/精装,445,六里桥10号院,丰台,南 北,,"2021年12月27日
                                                                            ","普通住宅
                                                                            ",63754
2室1厅,高楼层/共6层,58.11,平层/精装,362,嘉园二里,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            ",62296
2室1厅,中楼层/共6层,58.4,平层/简装,375,太平桥东里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",64213
2室1厅,底层/共6层,56.87,平层/简装,365,嘉园二里,丰台,南 北,,"2021年12月31日
                                                                            ","普通住宅
                                                                            ",64182
2室1厅,中楼层/共6层,63.83,平层/简装,364,城建宿舍,丰台,南 北,,"2021年12月26日
                                                                            ","普通住宅
                                                                            ",57027
2室1厅,顶层/共6层,54.01,平层/简装,435,正阳小区,丰台,南 北,,"2021年12月18日
                                                                            ","普通住宅
                                                                            ",80541
2室1厅,高楼层/共6层,57.14,平层/简装,365,芳古园一区,丰台,南 北,,"2021年12月10日
                                                                            ","普通住宅
                                                                            ",63879
2室1厅,低楼层/共6层,58.4,平层/简装,384,太平桥东里,丰台,南 北,,"2021年11月15日
                                                                            ","普通住宅
                                                                            ",65754
2室1厅,高楼层/共6层,61.28,平层/简装,380,嘉园二里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",62011
2室1厅,顶层/共6层,62.44,平层/简装,388,望园西里,丰台,南 北,,"2021年12月19日
                                                                            ","普通住宅
                                                                            ",62140
2室1厅,中楼层/共6层,69.72,平层/简装,395,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            ",56656
2室1厅,中楼层/共6层,61,平层/简装,382,蒲安北里,丰台,南 北,,"2021年11月03日
                                                                            ","普通住宅
                                                                            ",62623
2室1厅,低楼层/共6层,66.5,平层/简装,366,建欣苑四里,丰台,南 北,,"2021年10月30日
                                                                            ","普通住宅
                                                                            ",55038
2室1厅,中楼层/共6层,57.49,平层/简装,389,芳古园一区,丰台,南 北,,"2021年10月17日
                                                                            ","普通住宅
                                                                            ",67664
2室1厅,顶层/共6层,66.58,平层/简装,372,育芳园甲一号院,丰台,南 北,,"2021年10月03日
                                                                            ","普通住宅
                                                                            ",55873
2室1厅,高楼层/共6层,57.14,平层/简装,382,芳古园一区,丰台,南 北,,"2021年09月14日
                                                                            ","普通住宅
                                                                            ",66854
2室1厅,中楼层/共6层,67.63,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年09月13日
                                                                            ","普通住宅
                                                                            ",58850
2室1厅,中楼层/共6层,66.85,平层/简装,430,翠林三里,丰台,南 北,,"2021年09月02日
                                                                            ","普通住宅
                                                                            ",64324
2室1厅,中楼层/共6层,56.4,平层/简装,363,玉林里小区,丰台,东 南 西 北,,"2021年08月22日
                                                                            ","普通住宅
                                                                            ",64362
2室1厅,中楼层/共6层,64.48,平层/简装,362,华润小区,丰台,南 北,,"2021年08月07日
                                                                            ","普通住宅
                                                                            ",56142
2室1厅,顶层/共6层,61.98,平层/简装,369,莲怡园一区,丰台,北 南,,"2021年08月05日
                                                                            ","普通住宅
                                                                            ",59536
2室1厅,顶层/共4层,57.84,平层/简装,365,芳星园三区,丰台,南 北,,"2020年12月06日
                                                                            ","普通住宅
                                                                            ",63106
2室1厅,中楼层/共6层,61.25,平层/精装,395,芳星园三区,丰台,南 北,,"2022年01月16日
                                                                            ","普通住宅
                                                                            ",64490
2室1厅,中楼层/共6层,56.3,平层/其他,398,芳古园一区,丰台,南 北,,"2022年01月09日
                                                                            ","普通住宅
                                                                            ",70693
2室1厅,低楼层/共6层,56.97,平层/精装,370,翠林三里,丰台,南 北,,"2022年01月08日
                                                                            ","普通住宅
                                                                            ",64947
2室1厅,中楼层/共6层,58.07,平层/精装,420,望园西里,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",72327
2室1厅,低楼层/共6层,58.1,平层/精装,380,右外东庄,丰台,南 北,,"2022年01月07日
                                                                            ","普通住宅
                                                                            ",65405
2室1厅,中楼层/共6层,62.6,平层/精装,370,新华街四里,丰台,南 北,,"2022年01月06日
                                                                            ","普通住宅
                                                                            ",59106
2室1厅,中楼层/共21层,65.5,平层/简装,403,洋桥北里,丰台,南 北,有,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",61527
2室1厅,高楼层/共6层,65.12,平层/精装,369,石榴园北里小区,丰台,南 北,,"2022年01月03日
                                                                            ","普通住宅
                                                                            ",56665
2室1厅,低楼层/共6层,69.8,平层/精装,445,六里桥10号院,丰台,南 北,,"2021年12月27日
                                                                            ","普通住宅
                                                                            ",63754
2室1厅,高楼层/共6层,58.11,平层/精装,362,嘉园二里,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            ",62296
